SABR VOLATILITIES;
 ;strikes:;-150;-100;-50;-25;ATM;25;50;100;150;
2y;3m;0.0165;0.0111;0.0096;0.0091;0.0087;0.0084;0.0081;0.0077;0.0073;
2y;6m;0.0164;0.011;0.0095;0.009;0.0087;0.0083;0.0081;0.0076;0.0073;
2y;9m;0.0162;0.0109;0.0094;0.0089;0.0086;0.0082;0.008;0.0076;0.0072;
2y;1y;0.0159;0.0108;0.0093;0.0088;0.0085;0.0081;0.0079;0.0075;0.0071;
2y;2y;0.0141;0.0099;0.0086;0.0082;0.0079;0.0076;0.0073;0.007;0.0067;
2y;5y;0.0071;0.0066;0.0062;0.0061;0.0059;0.0058;0.0057;0.0055;0.0053;
2y;10y;0.0063;0.0059;0.0057;0.0055;0.0054;0.0053;0.0052;0.0051;0.005;
5y;3m;0.0146;0.01;0.0087;0.0082;0.0079;0.0076;0.0074;0.007;0.0067;
5y;6m;0.0129;0.0096;0.0084;0.008;0.0077;0.0075;0.0072;0.0069;0.0066;
5y;9m;0.0117;0.0092;0.0082;0.0078;0.0075;0.0073;0.0071;0.0067;0.0064;
5y;1y;0.0108;0.0088;0.0079;0.0076;0.0073;0.0071;0.0069;0.0066;0.0063;
5y;2y;0.0087;0.0077;0.0071;0.0069;0.0067;0.0065;0.0064;0.0061;0.0059;
5y;5y;0.0068;0.0063;0.006;0.0058;0.0057;0.0056;0.0055;0.0053;0.0052;
5y;10y;0.0063;0.006;0.0057;0.0056;0.0055;0.0054;0.0053;0.0051;0.005;
10y;3m;0.0085;0.0076;0.007;0.0068;0.0066;0.0064;0.0063;0.006;0.0058;
10y;6m;0.0083;0.0075;0.0069;0.0067;0.0065;0.0064;0.0062;0.006;0.0058;
10y;9m;0.0082;0.0073;0.0068;0.0066;0.0064;0.0063;0.0061;0.0059;0.0057;
10y;1y;0.008;0.0072;0.0067;0.0065;0.0064;0.0062;0.0061;0.0058;0.0056;
10y;2y;0.0074;0.0068;0.0064;0.0062;0.0061;0.0059;0.0058;0.0056;0.0054;
10y;5y;0.0065;0.0061;0.0058;0.0057;0.0056;0.0055;0.0054;0.0052;0.0051;
10y;10y;0.0067;0.0063;0.0059;0.0058;0.0057;0.0056;0.0055;0.0053;0.0051;
15y;3m;0.0076;0.0069;0.0065;0.0063;0.0062;0.006;0.0059;0.0057;0.0055;
15y;6m;0.0075;0.0069;0.0065;0.0063;0.0061;0.006;0.0059;0.0057;0.0055;
15y;9m;0.0075;0.0069;0.0064;0.0063;0.0061;0.006;0.0059;0.0056;0.0055;
15y;1y;0.0074;0.0068;0.0064;0.0062;0.0061;0.0059;0.0058;0.0056;0.0054;
15y;2y;0.0072;0.0067;0.0063;0.0061;0.006;0.0059;0.0057;0.0055;0.0054;
15y;5y;0.007;0.0065;0.0061;0.006;0.0058;0.0057;0.0056;0.0054;0.0053;
15y;10y;0.0074;0.0068;0.0064;0.0062;0.0061;0.0059;0.0058;0.0056;0.0054;
30y;3m;0.0078;0.0071;0.0066;0.0065;0.0063;0.0061;0.006;0.0058;0.0056;
30y;6m;0.0078;0.0071;0.0066;0.0064;0.0063;0.0061;0.006;0.0058;0.0056;
30y;9m;0.0078;0.0071;0.0066;0.0064;0.0063;0.0061;0.006;0.0058;0.0056;
30y;1y;0.0077;0.007;0.0066;0.0064;0.0062;0.0061;0.006;0.0057;0.0056;
30y;2y;0.0076;0.0069;0.0065;0.0063;0.0062;0.006;0.0059;0.0057;0.0055;
30y;5y;0.0074;0.0068;0.0064;0.0062;0.0061;0.0059;0.0058;0.0056;0.0054;
30y;10y;0.0077;0.007;0.0065;0.0064;0.0062;0.0061;0.0059;0.0057;0.0055;
3y9m;2y2m;0.0068;0.0064;0.006;0.0059;0.0058;0.0057;0.0056;0.0054;0.0052;
SABR VOLATILITIES;
 ;strikes:;-150;-100;-50;-25;ATM;25;50;100;150;
2y;3m;0.0165;0.0111;0.0096;0.0091;0.0087;0.0084;0.0081;0.0077;0.0073;
2y;6m;0.0164;0.011;0.0095;0.009;0.0087;0.0083;0.0081;0.0076;0.0073;
2y;9m;0.0162;0.0109;0.0094;0.0089;0.0086;0.0082;0.008;0.0076;0.0072;
2y;1y;0.0159;0.0108;0.0093;0.0088;0.0085;0.0081;0.0079;0.0075;0.0071;
2y;2y;0.0141;0.0099;0.0086;0.0082;0.0079;0.0076;0.0073;0.007;0.0067;
2y;5y;0.0071;0.0066;0.0062;0.0061;0.0059;0.0058;0.0057;0.0055;0.0053;
2y;10y;0.0063;0.0059;0.0057;0.0055;0.0054;0.0053;0.0052;0.0051;0.005;
5y;3m;0.0146;0.01;0.0087;0.0082;0.0079;0.0076;0.0074;0.007;0.0067;
5y;6m;0.0129;0.0096;0.0084;0.008;0.0077;0.0075;0.0072;0.0069;0.0066;
5y;9m;0.0117;0.0092;0.0082;0.0078;0.0075;0.0073;0.0071;0.0067;0.0064;
5y;1y;0.0108;0.0088;0.0079;0.0076;0.0073;0.0071;0.0069;0.0066;0.0063;
5y;2y;0.0087;0.0077;0.0071;0.0069;0.0067;0.0065;0.0064;0.0061;0.0059;
5y;5y;0.0068;0.0063;0.006;0.0058;0.0057;0.0056;0.0055;0.0053;0.0052;
5y;10y;0.0063;0.006;0.0057;0.0056;0.0055;0.0054;0.0053;0.0051;0.005;
10y;3m;0.0085;0.0076;0.007;0.0068;0.0066;0.0064;0.0063;0.006;0.0058;
10y;6m;0.0083;0.0075;0.0069;0.0067;0.0065;0.0064;0.0062;0.006;0.0058;
10y;9m;0.0082;0.0073;0.0068;0.0066;0.0064;0.0063;0.0061;0.0059;0.0057;
10y;1y;0.008;0.0072;0.0067;0.0065;0.0064;0.0062;0.0061;0.0058;0.0056;
10y;2y;0.0074;0.0068;0.0064;0.0062;0.0061;0.0059;0.0058;0.0056;0.0054;
10y;5y;0.0065;0.0061;0.0058;0.0057;0.0056;0.0055;0.0054;0.0052;0.0051;
10y;10y;0.0067;0.0063;0.0059;0.0058;0.0057;0.0056;0.0055;0.0053;0.0051;
15y;3m;0.0076;0.0069;0.0065;0.0063;0.0062;0.006;0.0059;0.0057;0.0055;
15y;6m;0.0075;0.0069;0.0065;0.0063;0.0061;0.006;0.0059;0.0057;0.0055;
15y;9m;0.0075;0.0069;0.0064;0.0063;0.0061;0.006;0.0059;0.0056;0.0055;
15y;1y;0.0074;0.0068;0.0064;0.0062;0.0061;0.0059;0.0058;0.0056;0.0054;
15y;2y;0.0072;0.0067;0.0063;0.0061;0.006;0.0059;0.0057;0.0055;0.0054;
15y;5y;0.007;0.0065;0.0061;0.006;0.0058;0.0057;0.0056;0.0054;0.0053;
15y;10y;0.0074;0.0068;0.0064;0.0062;0.0061;0.0059;0.0058;0.0056;0.0054;
30y;3m;0.0078;0.0071;0.0066;0.0065;0.0063;0.0061;0.006;0.0058;0.0056;
30y;6m;0.0078;0.0071;0.0066;0.0064;0.0063;0.0061;0.006;0.0058;0.0056;
30y;9m;0.0078;0.0071;0.0066;0.0064;0.0063;0.0061;0.006;0.0058;0.0056;
30y;1y;0.0077;0.007;0.0066;0.0064;0.0062;0.0061;0.006;0.0057;0.0056;
30y;2y;0.0076;0.0069;0.0065;0.0063;0.0062;0.006;0.0059;0.0057;0.0055;
30y;5y;0.0074;0.0068;0.0064;0.0062;0.0061;0.0059;0.0058;0.0056;0.0054;
30y;10y;0.0077;0.007;0.0065;0.0064;0.0062;0.0061;0.0059;0.0057;0.0055;
3y9m;2y2m;0.0068;0.0064;0.006;0.0059;0.0058;0.0057;0.0056;0.0054;0.0052;
