VOLATILITY DIFFERENCES;
 ;strikes:;-150;-100;-50;-25;ATM;25;50;100;150;
2y;3m;No market data;-1.0359;-0.4716;-0.4236;-0.4181;-0.4064;-0.4172;-0.4245;-0.4422;
2y;6m;No market data;-0.9537;-0.4984;-0.4547;-0.439;-0.4307;-0.4296;-0.4376;-0.4503;
2y;9m;No market data;-0.8144;-0.4939;-0.4559;-0.4408;-0.4305;-0.4268;-0.4299;-0.4391;
2y;1y;No market data;-0.6688;-0.4695;-0.4386;-0.4416;-0.4354;-0.4399;-0.4536;-0.4683;
2y;2y;No market data;-0.902;-0.5331;-0.4546;-0.445;-0.4385;-0.4313;-0.4317;-0.4375;
2y;5y;-0.3969;-0.3475;-0.3156;-0.3046;-0.2989;-0.2917;-0.2866;-0.2818;-0.2817;
2y;10y;-0.2963;-0.2666;-0.2453;-0.2367;-0.2289;-0.2226;-0.2176;-0.211;-0.2078;
5y;3m;-1.1724;-0.5927;-0.4568;-0.4196;-0.3951;-0.3803;-0.3715;-0.364;-0.3658;
5y;6m;-0.9439;-0.5704;-0.4577;-0.4259;-0.4048;-0.3894;-0.3816;-0.3732;-0.3719;
5y;9m;-0.8208;-0.547;-0.4496;-0.421;-0.4003;-0.3841;-0.375;-0.3652;-0.3628;
5y;1y;-0.7134;-0.5152;-0.4367;-0.4134;-0.3969;-0.3833;-0.3738;-0.3633;-0.3605;
5y;2y;-0.5617;-0.4609;-0.4048;-0.3856;-0.3714;-0.3591;-0.3497;-0.3377;-0.3321;
5y;5y;-0.3652;-0.3241;-0.2956;-0.2852;-0.2759;-0.2702;-0.2645;-0.2564;-0.252;
5y;10y;-0.3045;-0.2689;-0.2431;-0.2331;-0.2249;-0.2183;-0.2131;-0.2064;-0.2033;
10y;3m;-0.6248;-0.4833;-0.394;-0.3611;-0.3385;-0.325;-0.3166;-0.3068;-0.3063;
10y;6m;-0.6066;-0.4776;-0.3975;-0.3688;-0.3468;-0.3291;-0.3214;-0.3142;-0.3149;
10y;9m;-0.5778;-0.462;-0.3889;-0.3624;-0.3429;-0.3256;-0.3156;-0.3062;-0.3053;
10y;1y;-0.5464;-0.4455;-0.3821;-0.3591;-0.3407;-0.3248;-0.313;-0.3;-0.2952;
10y;2y;-0.4651;-0.3954;-0.3489;-0.3315;-0.3188;-0.3054;-0.2953;-0.2829;-0.2766;
10y;5y;-0.3533;-0.3105;-0.2801;-0.2686;-0.2599;-0.2521;-0.246;-0.2383;-0.2349;
10y;10y;-0.3296;-0.2895;-0.261;-0.2501;-0.2412;-0.2339;-0.2282;-0.2206;-0.2167;
15y;3m;-0.5726;-0.4553;-0.3717;-0.339;-0.3116;-0.2892;-0.2726;-0.2559;-0.2548;
