PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.001000;0.500000;0.000000;0.001000;
2y;6m;0.001000;0.500000;0.000000;0.001000;
2y;9m;0.001000;0.500000;0.000000;0.001000;
2y;1y;0.001000;0.500000;0.000000;0.001000;
2y;2y;0.001000;0.500000;0.000000;0.001000;
2y;5y;0.001000;0.500000;0.000000;0.001000;
2y;10y;0.001000;0.500000;0.000000;0.001000;
5y;3m;0.001000;0.500000;0.000000;0.001000;
5y;6m;0.001000;0.500000;0.000000;0.001000;
5y;9m;0.001000;0.500000;0.000000;0.001000;
5y;1y;0.001000;0.500000;0.000000;0.001000;
5y;2y;0.001000;0.500000;0.000000;0.001000;
5y;5y;0.001000;0.500000;0.000000;0.001000;
5y;10y;0.001000;0.500000;0.000000;0.001000;
10y;3m;0.001000;0.500000;0.000000;0.001000;
10y;6m;0.001000;0.500000;0.000000;0.001000;
10y;9m;0.001000;0.500000;0.000000;0.001000;
10y;1y;0.001000;0.500000;0.000000;0.001000;
10y;2y;0.001000;0.500000;0.000000;0.001000;
10y;5y;0.001000;0.500000;0.000000;0.001000;
10y;10y;0.001000;0.500000;0.000000;0.001000;
15y;3m;0.001000;0.500000;0.000000;0.001000;
15y;6m;0.001000;0.500000;0.000000;0.001000;
15y;9m;0.001000;0.500000;0.000000;0.001000;
15y;1y;0.001000;0.500000;0.000000;0.001000;
15y;2y;0.001000;0.500000;0.000000;0.001000;
15y;5y;0.001000;0.500000;0.000000;0.001000;
15y;10y;0.001000;0.500000;0.000000;0.001000;
30y;3m;0.001000;0.500000;0.000000;0.001000;
30y;6m;0.001000;0.500000;0.000000;0.001000;
30y;9m;0.001000;0.500000;0.000000;0.001000;
30y;1y;0.001000;0.500000;0.000000;0.001000;
30y;2y;0.001000;0.500000;0.000000;0.001000;
30y;5y;0.001000;0.500000;0.000000;0.001000;
30y;10y;0.001000;0.500000;0.000000;0.001000;
3y9m;2y2m;0.001000;0.500000;0.000000;0.001000;
