PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005869;0.000000;-0.617534;1.429939;
2y;6m;0.005797;0.000000;-0.441619;1.171905;
2y;9m;0.005580;0.000000;-0.182556;0.899517;
2y;1y;0.005937;0.024784;0.180667;0.809414;
2y;2y;0.006057;0.000000;0.009800;0.997549;
2y;5y;0.031362;0.380890;0.079557;0.371216;
2y;10y;0.022720;0.328996;-0.055850;0.265238;
5y;3m;0.006417;0.000000;0.347176;0.505471;
5y;6m;0.010795;0.111146;0.322279;0.455089;
5y;9m;0.014239;0.172687;0.248352;0.423091;
5y;1y;0.017172;0.211957;0.279610;0.383014;
5y;2y;0.041026;0.422693;-0.050893;0.375533;
5y;5y;0.027468;0.345314;-0.005937;0.313707;
5y;10y;0.020484;0.311017;-0.102919;0.311203;
10y;3m;0.019476;0.238557;-0.138988;0.616424;
10y;6m;0.048939;0.476431;-0.255365;0.647865;
10y;9m;0.047356;0.468655;-0.267532;0.593620;
10y;1y;0.038283;0.409110;-0.254204;0.492098;
10y;2y;0.023672;0.281416;-0.120067;0.370011;
10y;5y;0.023390;0.310684;-0.075591;0.349702;
10y;10y;0.023433;0.343359;-0.104929;0.300197;
15y;3m;0.035974;0.402624;-0.475144;0.697347;
15y;6m;0.043339;0.447350;-0.414465;0.614586;
15y;9m;0.026531;0.315027;-0.277032;0.491798;
15y;1y;0.033503;0.377707;-0.277778;0.458861;
15y;2y;0.022917;0.279388;-0.142382;0.406092;
15y;5y;0.040649;0.481234;-0.183671;0.403531;
15y;10y;0.023129;0.354246;-0.077829;0.258101;
30y;3m;0.041890;0.430459;-0.467515;0.708364;
30y;6m;0.049222;0.470910;-0.413752;0.633982;
30y;9m;0.044440;0.445743;-0.374444;0.565343;
30y;1y;0.026008;0.298110;-0.302959;0.456645;
30y;2y;0.042585;0.439568;-0.291962;0.443675;
30y;5y;0.045807;0.501285;-0.231262;0.413885;
30y;10y;0.035047;0.469414;-0.174875;0.280711;
3y9m;2y2m;0.225094;0.864447;0.195965;0.513373;
