SABR VOLATILITIES;
 ;strikes:;-150;-100;-50;-25;ATM;25;50;100;150;
2y;3m;2.4627;1.0223;0.5411;0.4220;0.3898;0.3980;0.4155;0.4507;0.4792;
2y;6m;2.2568;0.9476;0.5513;0.4586;0.4246;0.4226;0.4317;0.4556;0.4768;
2y;9m;1.8905;0.8167;0.5267;0.4637;0.4365;0.4295;0.4313;0.4428;0.4551;
2y;1y;1.4980;0.6785;0.4820;0.4505;0.4416;0.4433;0.4490;0.4629;0.4753;
2y;2y;1.8831;0.8860;0.5778;0.4911;0.4403;0.4207;0.4209;0.4420;0.4665;
2y;5y;0.4042;0.3536;0.3222;0.3115;0.3033;0.2973;0.2930;0.2881;0.2864;
2y;10y;0.3031;0.2721;0.2501;0.2416;0.2345;0.2286;0.2237;0.2165;0.2119;
5y;3m;1.1844;0.6101;0.4623;0.4259;0.4031;0.3890;0.3806;0.3727;0.3702;
5y;6m;0.9566;0.5819;0.4635;0.4327;0.4124;0.3990;0.3902;0.3807;0.3767;
5y;9m;0.8321;0.5583;0.4557;0.4270;0.4072;0.3934;0.3838;0.3727;0.3674;
5y;1y;0.7240;0.5253;0.4436;0.4200;0.4032;0.3910;0.3823;0.3712;0.3652;
5y;2y;0.5702;0.4692;0.4119;0.3924;0.3773;0.3655;0.3565;0.3444;0.3376;
5y;5y;0.3722;0.3300;0.3015;0.2910;0.2824;0.2754;0.2698;0.2619;0.2571;
5y;10y;0.3112;0.2745;0.2485;0.2386;0.2305;0.2239;0.2187;0.2117;0.2079;
10y;3m;0.6344;0.4886;0.4001;0.3698;0.3472;0.3313;0.3210;0.3124;0.3127;
10y;6m;0.6148;0.4856;0.4038;0.3750;0.3530;0.3374;0.3272;0.3193;0.3211;
10y;9m;0.5858;0.4699;0.3955;0.3688;0.3481;0.3328;0.3222;0.3119;0.3109;
10y;1y;0.5541;0.4536;0.3886;0.3650;0.3461;0.3313;0.3201;0.3062;0.3003;
10y;2y;0.4728;0.4020;0.3551;0.3377;0.3234;0.3118;0.3025;0.2892;0.2810;
10y;5y;0.3601;0.3162;0.2858;0.2744;0.2651;0.2577;0.2518;0.2439;0.2396;
10y;10y;0.3367;0.2953;0.2666;0.2558;0.2470;0.2398;0.2340;0.2260;0.2214;
15y;3m;0.5806;0.4622;0.3778;0.3448;0.3173;0.2954;0.2792;0.2623;0.2596;
15y;6m;0.5491;0.4469;0.3751;0.3473;0.3245;0.3063;0.2926;0.2768;0.2723;
15y;9m;0.5122;0.4229;0.3621;0.3392;0.3206;0.3057;0.2942;0.2794;0.2727;
15y;1y;0.4937;0.4135;0.3587;0.3381;0.3212;0.3075;0.2968;0.2825;0.2753;
15y;2y;0.4590;0.3890;0.3420;0.3245;0.3103;0.2989;0.2900;0.2778;0.2712;
15y;5y;0.3815;0.3284;0.2922;0.2789;0.2684;0.2603;0.2543;0.2475;0.2453;
15y;10y;0.3546;0.3055;0.2735;0.2618;0.2523;0.2445;0.2382;0.2292;0.2236;
30y;3m;0.6276;0.4972;0.4063;0.3711;0.3420;0.3189;0.3018;0.2837;0.2806;
30y;6m;0.5944;0.4798;0.4010;0.3710;0.3464;0.3269;0.3123;0.2957;0.2911;
30y;9m;0.5674;0.4628;0.3917;0.3648;0.3428;0.3253;0.3119;0.2955;0.2893;
30y;1y;0.5539;0.4553;0.3894;0.3646;0.3441;0.3273;0.3139;0.2952;0.2848;
30y;2y;0.5055;0.4252;0.3709;0.3505;0.3337;0.3201;0.3093;0.2948;0.2871;
30y;5y;0.4261;0.3621;0.3191;0.3033;0.2906;0.2808;0.2734;0.2644;0.2610;
30y;10y;0.3664;0.3136;0.2794;0.2669;0.2568;0.2487;0.2422;0.2334;0.2283;
3y9m;2y2m;0.4220;0.3945;0.3842;0.3835;0.3849;0.3878;0.3918;0.4016;0.4126;
