PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005869;0.000000;-0.617534;1.429939;
2y;6m;0.005797;0.000000;-0.441619;1.171905;
2y;9m;0.005580;0.000000;-0.182556;0.899517;
2y;1y;0.005937;0.024784;0.180667;0.809414;
2y;2y;0.006057;0.000000;0.009800;0.997549;
2y;5y;0.031362;0.380890;0.079557;0.371216;
2y;10y;0.022720;0.328996;-0.055850;0.265238;
5y;3m;0.006417;0.000000;0.347176;0.505471;
5y;6m;0.010795;0.111146;0.322279;0.455089;
5y;9m;0.014239;0.172687;0.248352;0.423091;
5y;1y;0.017172;0.211957;0.279610;0.383014;
5y;2y;0.041026;0.422693;-0.050893;0.375533;
5y;5y;0.027468;0.345314;-0.005937;0.313707;
5y;10y;0.020484;0.311017;-0.102919;0.311203;
10y;3m;0.019476;0.238557;-0.138988;0.616424;
10y;6m;0.048939;0.476431;-0.255365;0.647865;
10y;9m;0.047356;0.468655;-0.267532;0.593620;
10y;1y;0.038283;0.409110;-0.254204;0.492098;
10y;2y;0.023672;0.281416;-0.120067;0.370011;
10y;5y;0.023390;0.310684;-0.075591;0.349702;
10y;10y;0.023433;0.343359;-0.104929;0.300197;
15y;3m;0.035974;0.402624;-0.475144;0.697347;
15y;6m;0.043339;0.447350;-0.414465;0.614586;
15y;9m;0.026531;0.315027;-0.277032;0.491798;
15y;1y;0.033503;0.377707;-0.277778;0.458861;
15y;2y;0.022917;0.279388;-0.142382;0.406092;
15y;5y;0.040649;0.481234;-0.183671;0.403531;
15y;10y;0.023129;0.354246;-0.077829;0.258101;
30y;3m;0.041890;0.430459;-0.467515;0.708364;
30y;6m;0.049222;0.470910;-0.413752;0.633982;
30y;9m;0.044440;0.445743;-0.374444;0.565343;
30y;1y;0.026008;0.298110;-0.302959;0.456645;
30y;2y;0.042585;0.439568;-0.291962;0.443675;
30y;5y;0.045807;0.501285;-0.231262;0.413885;
30y;10y;0.035047;0.469414;-0.174875;0.280711;
3y9m;2y2m;0.225094;0.864447;0.195965;0.513373;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005869;0.000000;-0.617586;1.430093;
2y;6m;0.006801;0.000000;-0.001290;0.001071;
2y;9m;0.005580;0.000000;-0.182408;0.899460;
2y;1y;0.005322;0.000000;0.198236;0.813197;
2y;2y;0.006056;0.000000;0.010205;0.998265;
2y;5y;0.008201;0.000000;0.445753;0.352754;
2y;10y;0.007771;0.000000;-0.000105;0.001075;
5y;3m;0.006417;0.000000;0.347181;0.505411;
5y;6m;0.006913;0.000000;0.498475;0.409946;
5y;9m;0.007171;0.000000;0.519984;0.366283;
5y;1y;0.007468;0.000000;0.616987;0.334120;
5y;2y;0.010172;0.000000;0.000360;0.001000;
5y;5y;0.008292;0.000000;0.376546;0.280187;
5y;10y;0.007632;0.000000;-0.000226;0.001314;
10y;3m;0.008469;0.000000;0.000032;0.001813;
10y;6m;0.008221;0.000000;0.079275;0.538273;
10y;9m;0.008275;0.000000;0.081593;0.482272;
10y;1y;0.008433;0.000000;0.106430;0.388246;
10y;2y;0.008603;0.000000;0.188777;0.310536;
10y;5y;0.008048;0.000000;0.208107;0.312865;
10y;10y;0.007505;0.000000;-0.000171;0.001048;
15y;3m;0.008304;0.000000;-0.287486;0.577528;
15y;6m;0.008527;0.000000;-0.155547;0.488525;
15y;9m;0.008480;0.000000;-0.041260;0.414186;
15y;1y;0.008561;0.000000;0.034354;0.367826;
15y;2y;0.008449;0.000000;0.117420;0.350999;
15y;5y;0.007434;0.000000;0.213520;0.338552;
15y;10y;0.006604;0.000000;0.000779;0.001152;
30y;3m;0.008583;0.000000;-0.248615;0.569128;
30y;6m;0.008707;0.000000;-0.123510;0.490535;
30y;9m;0.008649;0.000000;-0.062228;0.433810;
30y;1y;0.008731;0.000000;-0.047651;0.362409;
30y;2y;0.008602;0.000000;0.124975;0.326839;
30y;5y;0.007532;0.000000;0.225684;0.322565;
30y;10y;0.006416;0.000000;0.000851;0.001117;
3y9m;2y2m;0.011308;0.000000;0.724418;0.629488;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.023928;0.300000;-0.721806;1.502672;
2y;6m;0.023492;0.300000;-0.589887;1.233383;
2y;9m;0.021993;0.300000;-0.385812;0.929007;
2y;1y;0.020239;0.300000;-0.021535;0.786233;
2y;2y;0.020993;0.300000;-0.170945;1.048686;
2y;5y;0.023522;0.300000;0.154963;0.363615;
2y;10y;0.020579;0.300000;-0.027994;0.261638;
5y;3m;0.021693;0.300000;0.013114;0.643356;
5y;6m;0.023117;0.300000;0.093846;0.521301;
5y;9m;0.023679;0.300000;0.090568;0.462934;
5y;1y;0.024317;0.300000;0.162492;0.404485;
5y;2y;0.025732;0.300000;0.097379;0.345168;
5y;5y;0.023437;0.300000;0.039593;0.307724;
5y;10y;0.019724;0.300000;-0.094218;0.309723;
10y;3m;0.024549;0.300000;-0.178405;0.631363;
10y;6m;0.025243;0.300000;-0.145161;0.602352;
10y;9m;0.025233;0.300000;-0.157852;0.549069;
