PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005903;0.000000;-0.620019;1.383820;
2y;6m;0.005832;0.000000;-0.443504;1.135063;
2y;9m;0.005610;0.000000;-0.182792;0.871586;
2y;1y;0.006328;0.037873;0.173318;0.785534;
2y;2y;0.006097;0.000000;0.017713;0.977941;
2y;5y;0.031308;0.380208;0.081056;0.368954;
2y;10y;0.022160;0.321542;-0.048453;0.263033;
5y;3m;0.008711;0.073486;0.297857;0.481217;
5y;6m;0.015687;0.202725;0.227855;0.452107;
5y;9m;0.019144;0.246042;0.168194;0.423246;
5y;1y;0.020588;0.257466;0.226934;0.381058;
5y;2y;0.041332;0.424418;-0.051654;0.370812;
5y;5y;0.027825;0.348853;-0.008855;0.312360;
5y;10y;0.022519;0.338429;-0.123746;0.313593;
10y;3m;0.027914;0.333799;-0.197825;0.628902;
10y;6m;0.055112;0.507882;-0.272967;0.650820;
10y;9m;0.052630;0.496730;-0.283930;0.596433;
10y;1y;0.038528;0.410655;-0.255262;0.487050;
10y;2y;0.025036;0.296752;-0.133476;0.369661;
10y;5y;0.023450;0.311229;-0.075578;0.347577;
10y;10y;0.023511;0.344042;-0.105233;0.298415;
15y;3m;0.035869;0.401783;-0.474474;0.691223;
15y;6m;0.048313;0.477057;-0.428069;0.619335;
15y;9m;0.024516;0.293153;-0.262668;0.479854;
15y;1y;0.036804;0.403493;-0.294944;0.461715;
15y;2y;0.051577;0.504514;-0.301574;0.458059;
15y;5y;0.025881;0.354346;-0.092076;0.379278;
15y;10y;0.023226;0.355127;-0.078166;0.255952;
30y;3m;0.048095;0.467783;-0.482668;0.715275;
30y;6m;0.045629;0.450248;-0.403917;0.621712;
30y;9m;0.048676;0.470314;-0.387717;0.568556;
30y;1y;0.043028;0.434802;-0.388992;0.497427;
30y;2y;0.047860;0.471212;-0.313693;0.449876;
30y;5y;0.045792;0.500984;-0.231051;0.411502;
30y;10y;0.035755;0.474542;-0.179622;0.279711;
3y9m;2y2m;0.225130;0.864477;0.195957;0.513183;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005903;0.000000;-0.619994;1.384088;
2y;6m;0.005832;0.000000;-0.443364;1.134998;
2y;9m;0.005610;0.000000;-0.182495;0.871470;
2y;1y;0.005351;0.000000;0.201542;0.789351;
2y;2y;0.006098;0.000000;0.017749;0.978007;
2y;5y;0.008205;0.000000;0.445846;0.350546;
2y;10y;0.007771;0.000000;-0.000099;0.001076;
5y;3m;0.006461;0.000000;0.394882;0.453613;
5y;6m;0.006931;0.000000;0.508115;0.392943;
5y;9m;0.007178;0.000000;0.518665;0.359354;
5y;1y;0.007463;0.000000;0.598686;0.338090;
5y;2y;0.008317;0.000000;0.549004;0.291351;
5y;5y;0.008294;0.000000;0.376321;0.278878;
5y;10y;0.007632;0.000000;-0.000214;0.001323;
10y;3m;0.008469;0.000000;-0.000020;0.001793;
10y;6m;0.008236;0.000000;0.085614;0.522193;
10y;9m;0.008289;0.000000;0.087086;0.469295;
10y;1y;0.008441;0.000000;0.110786;0.379636;
10y;2y;0.008607;0.000000;0.190840;0.306612;
10y;5y;0.008055;0.000000;0.209407;0.309712;
10y;10y;0.007505;0.000000;-0.000186;0.001046;
15y;3m;0.008314;0.000000;-0.286050;0.563028;
15y;6m;0.008537;0.000000;-0.153549;0.476849;
15y;9m;0.008488;0.000000;-0.038866;0.405445;
15y;1y;0.008567;0.000000;0.037217;0.360871;
15y;2y;0.008457;0.000000;0.120244;0.345144;
15y;5y;0.007443;0.000000;0.216081;0.334552;
15y;10y;0.006604;0.000000;0.000816;0.001158;
30y;3m;0.008594;0.000000;-0.246837;0.552655;
30y;6m;0.008718;0.000000;-0.121133;0.477353;
30y;9m;0.008660;0.000000;-0.059334;0.422613;
30y;1y;0.008740;0.000000;-0.045743;0.352482;
30y;2y;0.008610;0.000000;0.128103;0.320684;
30y;5y;0.007542;0.000000;0.229042;0.318350;
30y;10y;0.006416;0.000000;0.000897;0.001124;
3y9m;2y2m;0.011317;0.000000;0.724805;0.624024;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.023979;0.300000;-0.722897;1.478873;
2y;6m;0.023548;0.300000;-0.591368;1.215008;
2y;9m;0.022041;0.300000;-0.386826;0.915740;
2y;1y;0.020288;0.300000;-0.021171;0.774963;
2y;2y;0.021064;0.300000;-0.167816;1.037331;
2y;5y;0.023540;0.300000;0.156292;0.361162;
2y;10y;0.020593;0.300000;-0.027769;0.260168;
5y;3m;0.021900;0.300000;0.043941;0.576625;
5y;6m;0.023236;0.300000;0.111936;0.486201;
5y;9m;0.023756;0.300000;0.102121;0.440517;
5y;1y;0.024363;0.300000;0.170710;0.391247;
5y;2y;0.025756;0.300000;0.100265;0.339530;
5y;5y;0.023452;0.300000;0.040366;0.305520;
5y;10y;0.019741;0.300000;-0.093889;0.308017;
10y;3m;0.024578;0.300000;-0.176687;0.619437;
10y;6m;0.025274;0.300000;-0.143415;0.591995;
10y;9m;0.025261;0.300000;-0.156585;0.540234;
10y;1y;0.025559;0.300000;-0.173107;0.454668;
10y;2y;0.025332;0.300000;-0.136439;0.370441;
10y;5y;0.022555;0.300000;-0.066365;0.345887;
10y;10y;0.020151;0.300000;-0.065638;0.291257;
15y;3m;0.024763;0.300000;-0.433500;0.657574;
15y;6m;0.025362;0.300000;-0.342166;0.563295;
15y;9m;0.025138;0.300000;-0.267448;0.481940;
15y;1y;0.025297;0.300000;-0.224342;0.433241;
15y;2y;0.024696;0.300000;-0.158378;0.406285;
15y;5y;0.021348;0.300000;-0.049344;0.370536;
15y;10y;0.019016;0.300000;-0.016808;0.245649;
30y;3m;0.025912;0.300000;-0.410903;0.654770;
30y;6m;0.026236;0.300000;-0.324971;0.570688;
30y;9m;0.026005;0.300000;-0.289715;0.512278;
30y;1y;0.026206;0.300000;-0.305113;0.450398;
30y;2y;0.025571;0.300000;-0.185557;0.398124;
30y;5y;0.022055;0.300000;-0.073828;0.367090;
30y;10y;0.018789;0.300000;0.006676;0.243818;
3y9m;2y2m;0.031514;0.300000;0.583168;0.560303;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.061240;0.500000;-0.777894;1.560748;
2y;6m;0.060115;0.500000;-0.671380;1.290747;
2y;9m;0.055331;0.500000;-0.503813;0.966230;
