SABR PRICES;
 ;strikes:;-150;-100;-50;-25;ATM;25;50;100;150;
2y;3m;0.0092;0.0047;0.0010;0.0002;0.0000;0.0000;0.0000;0.0000;0.0000;
2y;6m;0.0091;0.0050;0.0016;0.0006;0.0002;0.0001;0.0000;0.0000;0.0000;
2y;9m;0.0090;0.0051;0.0020;0.0010;0.0005;0.0002;0.0001;0.0000;0.0000;
2y;1y;0.0089;0.0052;0.0023;0.0013;0.0008;0.0005;0.0003;0.0001;0.0001;
2y;2y;0.0097;0.0071;0.0045;0.0034;0.0025;0.0018;0.0014;0.0010;0.0008;
2y;5y;0.0052;0.0041;0.0031;0.0027;0.0023;0.0020;0.0018;0.0013;0.0010;
2y;10y;0.0018;0.0015;0.0012;0.0010;0.0009;0.0008;0.0007;0.0006;0.0005;
5y;3m;0.0141;0.0094;0.0048;0.0027;0.0012;0.0004;0.0001;0.0000;0.0000;
5y;6m;0.0133;0.0089;0.0047;0.0030;0.0017;0.0009;0.0004;0.0001;0.0000;
5y;9m;0.0126;0.0085;0.0047;0.0032;0.0021;0.0013;0.0007;0.0002;0.0001;
5y;1y;0.0119;0.0081;0.0047;0.0034;0.0024;0.0016;0.0010;0.0004;0.0002;
5y;2y;0.0096;0.0069;0.0047;0.0037;0.0029;0.0023;0.0018;0.0010;0.0006;
5y;5y;0.0053;0.0041;0.0031;0.0027;0.0023;0.0020;0.0017;0.0013;0.0009;
5y;10y;0.0018;0.0015;0.0012;0.0010;0.0009;0.0008;0.0007;0.0006;0.0004;
10y;3m;0.0141;0.0094;0.0049;0.0030;0.0015;0.0006;0.0002;0.0000;0.0000;
10y;6m;0.0134;0.0090;0.0050;0.0034;0.0021;0.0012;0.0006;0.0001;0.0000;
10y;9m;0.0126;0.0087;0.0051;0.0036;0.0024;0.0015;0.0009;0.0003;0.0001;
10y;1y;0.0120;0.0083;0.0051;0.0038;0.0027;0.0018;0.0012;0.0005;0.0002;
10y;2y;0.0098;0.0071;0.0049;0.0039;0.0031;0.0024;0.0018;0.0010;0.0006;
10y;5y;0.0053;0.0041;0.0031;0.0027;0.0023;0.0020;0.0017;0.0012;0.0009;
10y;10y;0.0018;0.0014;0.0011;0.0010;0.0009;0.0008;0.0007;0.0006;0.0004;
15y;3m;0.0141;0.0095;0.0050;0.0031;0.0016;0.0006;0.0002;0.0000;0.0000;
15y;6m;0.0134;0.0091;0.0051;0.0035;0.0022;0.0012;0.0006;0.0001;0.0000;
15y;9m;0.0127;0.0087;0.0052;0.0037;0.0025;0.0016;0.0009;0.0003;0.0001;
15y;1y;0.0120;0.0084;0.0052;0.0038;0.0027;0.0019;0.0012;0.0005;0.0002;
15y;2y;0.0098;0.0071;0.0048;0.0039;0.0030;0.0023;0.0018;0.0010;0.0005;
15y;5y;0.0052;0.0040;0.0030;0.0025;0.0021;0.0018;0.0015;0.0011;0.0008;
15y;10y;0.0017;0.0013;0.0010;0.0009;0.0008;0.0007;0.0006;0.0005;0.0004;
30y;3m;0.0141;0.0095;0.0050;0.0031;0.0016;0.0007;0.0002;0.0000;0.0000;
30y;6m;0.0134;0.0091;0.0052;0.0035;0.0022;0.0012;0.0006;0.0001;0.0000;
30y;9m;0.0127;0.0087;0.0052;0.0037;0.0025;0.0016;0.0010;0.0003;0.0001;
30y;1y;0.0120;0.0084;0.0052;0.0039;0.0028;0.0019;0.0012;0.0005;0.0002;
30y;2y;0.0098;0.0072;0.0049;0.0039;0.0031;0.0024;0.0018;0.0010;0.0006;
30y;5y;0.0052;0.0040;0.0030;0.0025;0.0021;0.0018;0.0015;0.0011;0.0008;
30y;10y;0.0017;0.0013;0.0010;0.0009;0.0008;0.0007;0.0006;0.0004;0.0003;
3y9m;2y2m;0.0095;0.0072;0.0053;0.0046;0.0040;0.0035;0.0031;0.0024;0.0020;
