PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005869;0.000000;-0.617531;1.429846;
2y;6m;0.005796;0.000000;-0.441789;1.172068;
2y;9m;0.005580;0.000000;-0.182401;0.899446;
2y;1y;0.006570;0.047577;0.163746;0.806597;
2y;2y;0.006057;0.000000;0.009776;0.997564;
2y;5y;0.031362;0.380886;0.079568;0.371217;
2y;10y;0.022713;0.328955;-0.055713;0.265421;
5y;3m;0.006417;0.000000;0.347181;0.505420;
5y;6m;0.010784;0.110897;0.322606;0.455032;
5y;9m;0.014292;0.173607;0.247162;0.423417;
5y;1y;0.017106;0.210964;0.281080;0.382656;
5y;2y;0.041026;0.422692;-0.050892;0.375533;
5y;5y;0.027469;0.345330;-0.005954;0.313708;
5y;10y;0.020494;0.311171;-0.103043;0.311220;
10y;3m;0.019485;0.238678;-0.139061;0.616454;
10y;6m;0.049000;0.476767;-0.255548;0.647964;
10y;9m;0.047305;0.468372;-0.267346;0.593568;
10y;1y;0.038281;0.409097;-0.254194;0.492095;
10y;2y;0.023674;0.281438;-0.120087;0.370017;
10y;5y;0.023392;0.310695;-0.075452;0.349599;
10y;10y;0.023431;0.343333;-0.104906;0.300193;
15y;3m;0.033606;0.383949;-0.467398;0.692224;
15y;6m;0.043314;0.447187;-0.414351;0.614591;
15y;9m;0.026532;0.315031;-0.277035;0.491799;
15y;1y;0.033496;0.377633;-0.277912;0.458760;
15y;2y;0.022917;0.279378;-0.142376;0.406090;
15y;5y;0.038841;0.468517;-0.174998;0.401177;
15y;10y;0.023125;0.354192;-0.077771;0.258090;
30y;3m;0.042687;0.435560;-0.469650;0.710051;
30y;6m;0.049221;0.470907;-0.413751;0.633981;
30y;9m;0.044209;0.444335;-0.373689;0.564897;
30y;1y;0.026007;0.298102;-0.302950;0.456649;
30y;2y;0.044751;0.453073;-0.301202;0.447734;
30y;5y;0.044397;0.492769;-0.225379;0.411845;
30y;10y;0.034628;0.466172;-0.171837;0.280015;
3y9m;2y2m;0.225100;0.864454;0.195961;0.513368;
